City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
628,Salvador,SV,84.24,clear sky,13.8333,-88.9167,Chico's Ranch
631,Caucaia,BR,82.04,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
635,Conakry,GN,79.38,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
636,Bauta,CU,75.09,scattered clouds,22.9828,-82.5464,El Refugio
645,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
648,Presidencia Roque Saenz Pena,AR,86.94,scattered clouds,-26.7852,-60.4388,Hotel Gualok
650,Cicero Dantas,BR,75.43,overcast clouds,-10.6,-38.3833,Hotel Beatriz
655,Kourou,GF,77.11,light rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
668,Morondava,MG,80.53,broken clouds,-20.2833,44.2833,La Case Bambou
673,Vallenar,CL,75.02,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
682,Beyla,GN,76.14,clear sky,8.6833,-8.6333,DIAN SINKO
684,Rock Sound,BS,75.7,clear sky,24.9,-76.2,Pink Corral Bay Property
