City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
68,Roald,NO,62.5833,6.1333,37.0,93,75,20.71,broken clouds
69,Mangrol,IN,21.1167,70.1167,70.27,41,4,11.05,clear sky
70,Vedasandur,IN,10.5333,77.95,69.26,93,25,2.35,scattered clouds
71,Belomorsk,RU,64.5232,34.7668,2.01,100,86,2.77,overcast clouds
72,Port Alfred,ZA,-33.5906,26.891,71.49,75,2,18.81,clear sky
73,Dikson,RU,73.5069,80.5464,22.23,95,100,19.44,light snow
74,Terekli-Mekteb,RU,44.1671,45.8698,41.14,86,30,5.28,scattered clouds
75,Codrington,AU,-38.2667,141.9667,63.57,61,100,11.25,overcast clouds
76,Santa Cruz,BO,-17.8,-63.1667,78.26,78,40,9.22,scattered clouds
77,Touros,BR,-5.1989,-35.4608,79.7,79,16,10.6,few clouds
78,Podor,MR,16.6527,-14.9587,78.75,25,18,2.3,few clouds
79,Margate,GB,51.3813,1.3862,44.31,84,85,3.0,overcast clouds
80,Chuy,UY,-33.6971,-53.4616,68.77,83,10,7.96,clear sky
81,Caninde De Sao Francisco,BR,-9.66,-37.7894,78.13,77,88,8.46,overcast clouds
82,Boa Vista,BR,2.8197,-60.6733,85.98,48,0,6.91,clear sky
83,Hithadhoo,MV,-0.6,73.0833,81.23,71,88,3.85,overcast clouds
84,Brufut,GM,13.3814,-16.7518,71.69,60,20,5.75,haze
85,Floro,NO,61.5996,5.0328,37.36,70,100,16.11,light rain
86,Sabla,NG,12.7525,4.7077,72.45,12,3,12.37,clear sky
87,Coquimbo,CL,-29.9533,-71.3436,66.54,75,1,7.05,clear sky
88,Middleton,GB,53.55,-2.2,43.05,94,100,12.77,moderate rain
89,East London,ZA,-33.0153,27.9116,72.57,80,53,19.17,broken clouds
90,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.08,98,100,1.28,overcast clouds
91,Krasnoselkup,RU,65.7,82.4667,16.34,93,98,17.27,overcast clouds
92,Qasigiannguit,GL,68.8193,-51.1922,8.85,95,100,7.29,overcast clouds
93,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,26.46,light intensity shower rain
94,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,31.07,heavy snow
95,Ishnya,RU,57.1907,39.36,35.47,97,100,12.53,overcast clouds
96,Iquique,CL,-20.2208,-70.1431,69.31,80,36,0.74,scattered clouds
97,Qaqortoq,GL,60.7167,-46.0333,14.5,64,100,31.59,overcast clouds
98,Klaksvik,FO,62.2266,-6.589,38.32,74,76,33.55,broken clouds
99,Itarema,BR,-2.9248,-39.9167,79.16,81,77,10.78,broken clouds
100,Plavsk,RU,53.7094,37.2919,34.52,83,96,21.34,overcast clouds
101,Chimore,BO,-16.9833,-65.1333,74.68,93,93,2.89,overcast clouds
102,Saint-Philippe,RE,-21.3585,55.7679,80.19,93,100,22.03,moderate rain
103,Tasiilaq,GL,65.6145,-37.6368,24.96,64,100,28.92,overcast clouds
104,La Tuque,CA,47.4334,-72.7824,12.45,67,100,14.97,overcast clouds
105,Peniche,PT,39.3558,-9.3811,52.61,86,2,21.27,clear sky
106,Jangipur,IN,24.4667,88.0667,63.48,36,36,4.59,scattered clouds
107,Joshimath,IN,30.5667,79.5667,33.12,58,33,7.34,scattered clouds
108,Fontenay-Le-Comte,FR,46.5833,-1.0,50.45,92,100,12.28,overcast clouds
109,Aksarka,RU,66.5606,67.7975,24.01,92,100,13.53,overcast clouds
110,Jacareacanga,BR,-6.2222,-57.7528,72.27,97,100,1.54,heavy intensity rain
111,Saldanha,ZA,-33.0117,17.9442,66.25,95,4,10.63,clear sky
112,Cap Malheureux,MU,-19.9842,57.6142,81.09,86,100,13.0,moderate rain
113,Pisco,PE,-13.7,-76.2167,71.65,78,75,16.11,broken clouds
114,Kantunil,MX,20.8,-89.0333,78.93,78,83,6.33,broken clouds
115,Cidreira,BR,-30.1811,-50.2056,73.99,74,0,12.37,clear sky
116,Maceio,BR,-9.6658,-35.7353,80.04,83,40,6.91,scattered clouds
117,Tefe,BR,-3.3542,-64.7114,74.71,89,67,1.88,broken clouds
118,Carnarvon,AU,-24.8667,113.6333,91.47,25,56,8.05,broken clouds
119,Vesyegonsk,RU,58.664,37.2604,33.37,97,100,10.98,light snow
120,Mozarlandia,BR,-14.7447,-50.5706,69.69,99,100,7.83,overcast clouds
121,Saint-Francois,FR,46.4154,3.9054,44.04,65,100,8.05,overcast clouds
122,Ostrovnoy,RU,68.0531,39.5131,21.15,95,90,6.44,overcast clouds
123,Gat,IL,31.61,34.7642,54.39,100,45,4.14,scattered clouds
124,Vestmanna,FO,62.1564,-7.1664,36.52,75,100,29.93,overcast clouds
125,Bani Walid,LY,31.7566,13.9942,59.99,33,100,10.07,overcast clouds
126,Grand Gaube,MU,-20.0064,57.6608,81.0,86,100,13.0,moderate rain
127,Westport,US,41.1415,-73.3579,30.74,43,0,26.46,clear sky
128,La Fleche,FR,47.6982,-0.0755,48.97,94,97,12.28,overcast clouds
129,Carutapera,BR,-1.195,-46.02,77.38,85,55,4.52,broken clouds
130,Berlevag,NO,70.8578,29.0864,26.69,65,100,18.21,light snow
131,Ritchie,ZA,-29.038,24.6028,61.81,54,37,6.6,scattered clouds
132,Ponyri,RU,52.3186,36.3039,35.04,79,46,20.33,scattered clouds
133,Meulaboh,ID,4.1363,96.1285,76.1,87,80,3.8,broken clouds
134,Havelock,US,34.8791,-76.9013,53.02,50,0,1.01,clear sky
135,Aguada De Pasajeros,CU,22.385,-80.8508,78.94,68,26,12.44,scattered clouds
136,Palitana,IN,21.5167,71.8333,68.22,27,3,6.35,clear sky
137,Narsaq,GL,60.9167,-46.05,14.22,82,100,8.52,overcast clouds
138,Mhlume,SZ,-26.0333,31.85,70.86,95,11,3.47,few clouds
139,Lakhdenpokhya,RU,61.5198,30.1992,22.26,89,100,9.62,overcast clouds
140,Otjimbingwe,NA,-22.35,16.1333,76.95,66,26,0.83,scattered clouds
